,carrier_name,year,arr_del15
0,American Airlines Inc.,2014,195.13888888888889
1,American Airlines Inc.,2018,300.1111111111111
2,Delta Air Lines Inc.,2014,305.8333333333333
3,Delta Air Lines Inc.,2018,319.1666666666667
4,Endeavor Air Inc.,2018,312.30555555555554
5,Envoy Air,2014,231.85
6,Envoy Air,2018,144.16666666666666
7,ExpressJet Airlines Inc.,2014,400.9117647058824
8,ExpressJet Airlines Inc.,2018,349.0
9,JetBlue Airways,2014,371.5833333333333
10,JetBlue Airways,2018,456.0833333333333
11,Republic Airline,2018,403.94444444444446
12,SkyWest Airlines Inc.,2014,8.25
13,SkyWest Airlines Inc.,2018,105.3225806451613
14,Southwest Airlines Co.,2014,200.95833333333334
15,Southwest Airlines Co.,2018,221.54166666666666
16,US Airways Inc.,2014,121.27777777777777
17,United Air Lines Inc.,2014,353.25
18,United Air Lines Inc.,2018,751.125
